Array_Size,Case_Type,Bubble,Selection,Insertion
5,Random,10,10,9
5,Sorted,10,10,4
5,Reversed,10,10,10
6,Random,15,15,12
6,Sorted,15,15,5
6,Reversed,15,15,15
7,Random,21,21,17
7,Sorted,21,21,6
7,Reversed,21,21,21
8,Random,28,28,23
8,Sorted,28,28,7
8,Reversed,28,28,28
9,Random,36,36,17
9,Sorted,36,36,8
9,Reversed,36,36,36
10,Random,45,45,38
10,Sorted,45,45,9
10,Reversed,45,45,45
